id,pop,lat,lon,INSTCODE,ACCENUMB,acc_name,collection_site,province,elevation,Plate,Genotype
ZM9042,Zambia,-14.21088,31.20006,ZMB048,ZM9042,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9042
ZM9158,Zambia,-12.42228,26.21627,ZMB048,ZM9158,NA,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9158
ZM9101,Zambia,-12.20527,26.4064,ZMB048,ZM9101,Matembele,Solwezi,North-western province,1335,DSp22-7146_2,ZM9101
ZM9037,Zambia,-14.24338,31.32454,ZMB048,ZM9037,Solwezi,Petauke,Eastern province,995,DSp22-7146_2,ZM9037
ZM9114,Zambia,-12.22997,26.40373,ZMB048,ZM9114,Chingovwa,Solwezi,North-western province,1310,DSp22-7146_2,ZM9114
ZM9148,Zambia,-12.42228,26.21627,ZMB048,ZM9148,Chingovwa,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9148
ZM9103,Zambia,-12.20527,26.4064,ZMB048,ZM9103,Matembele,Solwezi,North-western province,1335,DSp22-7146_2,ZM9103
ZM9092,Zambia,-14.54362,30.92558,ZMB048,ZM9092,Mwanchalilanji,Nyimba,Eastern province,853,DSp22-7146_2,ZM9092
ZM9157,Zambia,-12.42228,26.21627,ZMB048,ZM9157,Tainunga,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9157
ZM9063,Zambia,-14.16995,31.25181,ZMB048,ZM9063,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9063
ZM9034,Zambia,-14.23951,31.32544,ZMB048,ZM9034,NA,Petauke,Eastern province,904,DSp22-7146_2,ZM9034
ZM9145,Zambia,-12.42228,26.21627,ZMB048,ZM9145,LC-SANTMA 20/3,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9145
ZM9035,Zambia,-14.23951,31.32544,ZMB048,ZM9035,NA,Petauke,Eastern province,904,DSp22-7146_2,ZM9035
ZM9161,Zambia,-12.42228,26.21627,ZMB048,ZM9161,NA,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9161
ZM9058,Zambia,-14.16995,31.25181,ZMB048,ZM9058,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9058
ZM9048,Zambia,-14.20884,31.20936,ZMB048,ZM9048,NA,Petauke,Eastern province,1027,DSp22-7146_2,ZM9048
ZM9040,Zambia,-14.21088,31.20006,ZMB048,ZM9040,NA,Petauke,Eastern province,941,DSp22-7146_2,ZM9040
ZM9149,Zambia,-12.42228,26.21627,ZMB048,ZM9149,Matembele,Kalumbila,North-western province,1312,DSp22-7146_2,ZM9149
ZM9055,Zambia,-14.16995,31.25181,ZMB048,ZM9055,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9055
ZM9057,Zambia,-14.16995,31.25181,ZMB048,ZM9057,NA,Petauke,Eastern province,894,DSp22-7146_2,ZM9057
ZM9118,Zambia,-12.29932,26.52719,ZMB048,ZM9118,Chingovwa,Solwezi,North-western province,1287,DSp22-7146_2,ZM9118
ZM9167,Zambia,-13.3881,28.44066,ZMB048,ZM9167,Chitabetabe,Mpongwe,Copperbelt province,1197,DSp22-7146_3,ZM9167
ZM9214,Zambia,-12.8827,27.37993,ZMB048,ZM9214,Matembele,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9214
ZM9216,Zambia,-12.86204,27.01989,ZMB048,ZM9216,Chingovwa orginal,Lufwanyama,Copperbelt province,1272,DSp22-7146_3,ZM9216
ZM9053,Zambia,-14.18177,31.23963,ZMB048,ZM9053,NA,Petauke,Eastern province,943,DSp22-7146_3,ZM9053
ZM9198,Zambia,-13.18984,28.30219,ZMB048,ZM9198,Unknown,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9198
ZM9185,Zambia,-13.21779,28.28384,ZMB048,ZM9185,Unknown,Masaiti,Copperbelt province,1212,DSp22-7146_3,ZM9185
ZM9178,Zambia,-13.21676,28.28071,ZMB048,ZM9178,Unknown,Masaiti,Copperbelt province,1211,DSp22-7146_3,ZM9178
ZM9107,Zambia,-12.2316,26.4023,ZMB048,ZM9107,Chingovwa,Solwezi,North-western province,1319,DSp22-7146_3,ZM9107
ZM9165,Zambia,-13.3881,28.44066,ZMB048,ZM9165,Yamenso,Mpongwe,Copperbelt province,1197,DSp22-7146_3,ZM9165
ZM9210,Zambia,-12.8827,27.37993,ZMB048,ZM9210,Chingovwa,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9210
ZM9220,Zambia,-12.94768,28.04861,ZMB048,ZM9220,Matembele,Lufwanyama,Copperbelt province,1229,DSp22-7146_3,ZM9220
ZM9076,Zambia,-13.95278,32.18529,ZMB048,ZM9076,Carrot,Katete,Eastern province,1123,DSp22-7146_3,ZM9076
ZM9204,Zambia,-12.91954,27.43715,ZMB048,ZM9204,Kapila,Lufwanyama,Copperbelt province,1255,DSp22-7146_3,ZM9204
ZM9199,Zambia,-13.18984,28.30219,ZMB048,ZM9199,Unknown,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9199
ZM9222,Zambia,-12.94768,28.04861,ZMB048,ZM9222,Sonteka white,Lufwanyama,Copperbelt province,1229,DSp22-7146_3,ZM9222
ZM9115,Zambia,-12.22997,26.40373,ZMB048,ZM9115,Matembele,Solwezi,North-western province,1310,DSp22-7146_3,ZM9115
ZM9164,Zambia,-13.3881,28.44066,ZMB048,ZM9164,Chingovwa,Mpongwe,Copperbelt province,1197,DSp22-7146_3,ZM9164
ZM9211,Zambia,-12.8827,27.37993,ZMB048,ZM9211,Kapila,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9211
ZM9209,Zambia,-12.8827,27.37993,ZMB048,ZM9209,Chingovwa,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9209
ZM9201,Zambia,-13.18984,28.30219,ZMB048,ZM9201,Unknown,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9201
ZM9208,Zambia,-12.8827,27.37993,ZMB048,ZM9208,Susumana,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9208
ZM9190,Zambia,-13.18861,28.30489,ZMB048,ZM9190,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9190
ZM9188,Zambia,-13.18861,28.30489,ZMB048,ZM9188,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9188
ZM9033,Zambia,-14.23951,31.32544,ZMB048,ZM9033,NA,Petauke,Eastern province,904,DSp22-7146_3,ZM9033
ZM9106,Zambia,-12.2316,26.4023,ZMB048,ZM9106,Kyapatala,Solwezi,North-western province,1319,DSp22-7146_3,ZM9106
ZM9174,Zambia,-13.38793,28.42867,ZMB048,ZM9174,Ya BP,Mpongwe,Copperbelt province,1208,DSp22-7146_3,ZM9174
ZM9217,Zambia,-12.86204,27.01989,ZMB048,ZM9217,Chingovwa yellow,Lufwanyama,Copperbelt province,1272,DSp22-7146_3,ZM9217
ZM9213,Zambia,-12.8827,27.37993,ZMB048,ZM9213,Unknown,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9213
ZM9221,Zambia,-12.94768,28.04861,ZMB048,ZM9221,Sonteka red,Lufwanyama,Copperbelt province,1229,DSp22-7146_3,ZM9221
ZM9192,Zambia,-13.18861,28.30489,ZMB048,ZM9192,Chingovwa,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9192
ZM9182,Zambia,-13.19671,28.30742,ZMB048,ZM9182,Kandolo,Masaiti,Copperbelt province,1191,DSp22-7146_3,ZM9182
ZM9039,Zambia,-14.21088,31.20006,ZMB048,ZM9039,Carrot,Petauke,Eastern province,941,DSp22-7146_3,ZM9039
ZM9168,Zambia,-13.38746,28.44114,ZMB048,ZM9168,Mwandaba,Mpongwe,Copperbelt province,1202,DSp22-7146_3,ZM9168
ZM9172,Zambia,-13.38746,28.44114,ZMB048,ZM9172,Chingovwa,Mpongwe,Copperbelt province,1210,DSp22-7146_3,ZM9172
ZM9218,Zambia,-12.85631,27.04932,ZMB048,ZM9218,Chingovwa yellow,Lufwanyama,Copperbelt province,1232,DSp22-7146_3,ZM9218
ZM9205,Zambia,-12.91954,27.43715,ZMB048,ZM9205,Matembele,Lufwanyama,Copperbelt province,1255,DSp22-7146_3,ZM9205
ZM9219,Zambia,-12.85631,27.04932,ZMB048,ZM9219,Chingovwa orginal,Lufwanyama,Copperbelt province,1234,DSp22-7146_3,ZM9219
ZM9196,Zambia,-13.18984,28.30219,ZMB048,ZM9196,Chingovwa,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9196
ZM9181,Zambia,-13.21779,28.28384,ZMB048,ZM9181,Iyakashika,Masaiti,Copperbelt province,1212,DSp22-7146_3,ZM9181
ZM9184,Zambia,-13.21779,28.28384,ZMB048,ZM9184,Red vines,Masaiti,Copperbelt province,1212,DSp22-7146_3,ZM9184
ZM9069,Zambia,-13.95709,32.17732,ZMB048,ZM9069,Ze blue,Katete,Eastern province,1097,DSp22-7146_3,ZM9069
ZM9169,Zambia,-13.38959,28.43072,ZMB048,ZM9169,Ya BP,Mpongwe,Copperbelt province,1210,DSp22-7146_3,ZM9169
ZM9173,Zambia,-13.38824,28.42915,ZMB048,ZM9173,Chingovwa,Mpongwe,Copperbelt province,1217,DSp22-7146_3,ZM9173
ZM9170,Zambia,-13.38746,28.44114,ZMB048,ZM9170,Chitabetabe,Mpongwe,Copperbelt province,1210,DSp22-7146_3,ZM9170
ZM9193,Zambia,-13.18861,28.30489,ZMB048,ZM9193,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9193
ZM9207,Zambia,-12.91332,27.36823,ZMB048,ZM9207,Chingovwa,Lufwanyama,Copperbelt province,1194,DSp22-7146_3,ZM9207
ZM9195,Zambia,-13.18984,28.30219,ZMB048,ZM9195,Matembele,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9195
ZM9177,Zambia,-12.82768,28.42447,ZMB048,ZM9177,Matembele,Mpongwe,Copperbelt province,1212,DSp22-7146_3,ZM9177
ZM9187,Zambia,-13.18861,28.30489,ZMB048,ZM9187,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9187
ZM9077,Zambia,-13.95258,32.18578,ZMB048,ZM9077,Solwezi,Katete,Eastern province,1092,DSp22-7146_3,ZM9077
ZM9166,Zambia,-13.3881,28.44066,ZMB048,ZM9166,Matembele,Mpongwe,Copperbelt province,1197,DSp22-7146_3,ZM9166
ZM9163,Zambia,-13.3881,28.44066,ZMB048,ZM9163,Ma eggs,Mpongwe,Copperbelt province,1197,DSp22-7146_3,ZM9163
ZM9175,Zambia,-13.38793,28.42867,ZMB048,ZM9175,Chingovwa,Mpongwe,Copperbelt province,1208,DSp22-7146_3,ZM9175
ZM9176,Zambia,-13.3971,28.42979,ZMB048,ZM9176,Chingovwa,Mpongwe,Copperbelt province,1218,DSp22-7146_3,ZM9176
ZM9194,Zambia,-13.18861,28.30489,ZMB048,ZM9194,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9194
ZM9189,Zambia,-13.18861,28.30489,ZMB048,ZM9189,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9189
ZM9084,Zambia,-13.9374,32.22187,ZMB048,ZM9084,Saili,Chipata,Eastern province,1006,DSp22-7146_3,ZM9084
ZM9212,Zambia,-12.8827,27.37993,ZMB048,ZM9212,Nkana,Lufwanyama,Copperbelt province,1201,DSp22-7146_3,ZM9212
ZM9215,Zambia,-12.86204,27.01989,ZMB048,ZM9215,Kapila,Lufwanyama,Copperbelt province,1272,DSp22-7146_3,ZM9215
ZM9171,Zambia,-13.38746,28.44114,ZMB048,ZM9171,Mbata,Mpongwe,Copperbelt province,1210,DSp22-7146_3,ZM9171
ZM9200,Zambia,-13.18984,28.30219,ZMB048,ZM9200,Unknown,Masaiti,Copperbelt province,1200,DSp22-7146_3,ZM9200
ZM9206,Zambia,-12.91332,27.36823,ZMB048,ZM9206,Kapila,Lufwanyama,Copperbelt province,1194,DSp22-7146_3,ZM9206
ZM9191,Zambia,-13.18861,28.30489,ZMB048,ZM9191,Unknown,Masaiti,Copperbelt province,1196,DSp22-7146_3,ZM9191
ZM9180,Zambia,-13.21779,28.28384,ZMB048,ZM9180,Chingovwa,Masaiti,Copperbelt province,1212,DSp22-7146_3,ZM9180
ZM9075,Zambia,-13.95278,32.18529,ZMB048,ZM9075,Solwezi,Katete,Eastern province,1123,DSp22-7146_3,ZM9075
ZM8980,Zambia,-16.51271,26.68909,ZMB048,ZM8980,Kasempa purple,Choma,Southern province,1204,DSp22-7458_1,ZM8980
ZM8996,Zambia,-16.53412,26.69318,ZMB048,ZM8996,Kapusipusi,Choma,Southern province,1230,DSp22-7458_1,ZM8996
ZM9000,Zambia,-16.56352,26.74303,ZMB048,ZM9000,Mukakandongwe,Choma,Southern province,1267,DSp22-7458_1,ZM9000
ZM8973,Zambia,-16.54198,26.6679,ZMB048,ZM8973,Mudumina kunsi,Choma,Southern province,1244,DSp22-7458_1,ZM8973
ZM8988,Zambia,-16.50905,26.69154,ZMB048,ZM8988,Kambala,Choma,Southern province,1211,DSp22-7458_1,ZM8988
ZM8967,Zambia,-16.51255,26.68789,ZMB048,ZM8967,Carrot,Choma,Southern province,1197,DSp22-7458_1,ZM8967
ZM8992,Zambia,-16.53412,26.69318,ZMB048,ZM8992,Mahombe,Choma,Southern province,1230,DSp22-7458_1,ZM8992
ZM9001,Zambia,-16.56352,26.74303,ZMB048,ZM9001,Bena Vicky,Choma,Southern province,1267,DSp22-7458_1,ZM9001_2
ZM8968,Zambia,-16.51255,26.68789,ZMB048,ZM8968,Mukakambole,Choma,Southern province,1197,DSp22-7458_1,ZM8968
ZM9011,Zambia,-16.61106,26.79966,ZMB048,ZM9011,Bena Vicky,Kalomo,Southern province,1304,DSp22-7458_1,ZM9011
ZM8972,Zambia,-16.54198,26.6679,ZMB048,ZM8972,Chirundu,Choma,Southern province,1244,DSp22-7458_1,ZM8972
ZM8970,Zambia,-16.54198,26.6679,ZMB048,ZM8970,Kabalebale,Choma,Southern province,1244,DSp22-7458_1,ZM8970
ZM9005,Zambia,-16.57605,26.76313,ZMB048,ZM9005,PAM,Choma,Southern province,1275,DSp22-7458_1,ZM9005
ZM9012,Zambia,-16.61106,26.79966,ZMB048,ZM9012,Mukakandongwe,Kalomo,Southern province,1304,DSp22-7458_1,ZM9012
ZM8983,Zambia,-16.50905,26.69154,ZMB048,ZM8983,Purple,Choma,Southern province,1211,DSp22-7458_1,ZM8983
ZM8991,Zambia,-16.50905,26.69154,ZMB048,ZM8991,Kasempa,Choma,Southern province,1211,DSp22-7458_1,ZM8991
ZM8977,Zambia,-16.54198,26.6679,ZMB048,ZM8977,Namwala,Choma,Southern province,1244,DSp22-7458_1,ZM8977
ZM8982,Zambia,-16.51271,26.68909,ZMB048,ZM8982,Purple,Choma,Southern province,1204,DSp22-7458_1,ZM8982
ZM8974,Zambia,-16.54198,26.6679,ZMB048,ZM8974,Kalya balimi,Choma,Southern province,1244,DSp22-7458_1,ZM8974
ZM9002,Zambia,-16.57605,26.76313,ZMB048,ZM9002,Shanga ubone,Choma,Southern province,1275,DSp22-7458_1,ZM9002
ZM9006,Zambia,-16.57605,26.76313,ZMB048,ZM9006,Shanga ubone,Choma,Southern province,1275,DSp22-7458_1,ZM9006
ZM9004,Zambia,-16.57605,26.76313,ZMB048,ZM9004,Bena Vicky,Choma,Southern province,1275,DSp22-7458_1,ZM9004
ZM8981,Zambia,-16.51271,26.68909,ZMB048,ZM8981,Kasempa white,Choma,Southern province,1204,DSp22-7458_1,ZM8981
ZM8966_2,Zambia,-16.51255,26.68789,ZMB048,ZM8966,Mbata,Choma,Southern province,1197,DSp22-7458_1,ZM8966_2
ZM9009,Zambia,-16.57605,26.76313,ZMB048,ZM9009,Bena Vicky,Choma,Southern province,1275,DSp22-7458_1,ZM9009
ZM8984,Zambia,-16.50905,26.69154,ZMB048,ZM8984,Orange ,Choma,Southern province,1211,DSp22-7458_1,ZM8984
ZM8999,Zambia,-16.55716,26.72531,ZMB048,ZM8999,Na Victoria,Choma,Southern province,1240,DSp22-7458_1,ZM8999
ZM8998,Zambia,-16.55716,26.72531,ZMB048,ZM8998,Mukakandongwe,Choma,Southern province,1240,DSp22-7458_1,ZM8998
ZM8993,Zambia,-16.53412,26.69318,ZMB048,ZM8993,Shanga ubone,Choma,Southern province,1230,DSp22-7458_1,ZM8993
ZM8979,Zambia,-16.54198,26.6679,ZMB048,ZM8979,Yellow,Choma,Southern province,1244,DSp22-7458_1,ZM8979
ZM8997,Zambia,-16.55716,26.72531,ZMB048,ZM8997,PAM,Choma,Southern province,1240,DSp22-7458_1,ZM8997
ZM8971,Zambia,-16.54198,26.6679,ZMB048,ZM8971,Shanga ubone,Choma,Southern province,1244,DSp22-7458_1,ZM8971
ZM8994,Zambia,-16.53412,26.69318,ZMB048,ZM8994,Mukakandongwe,Choma,Southern province,1230,DSp22-7458_1,ZM8994
ZM8987,Zambia,-16.50905,26.69154,ZMB048,ZM8987,Shanga ubone,Choma,Southern province,1211,DSp22-7458_1,ZM8987
ZM8963_2,Zambia,-16.51255,26.68789,ZMB048,ZM8963,Navik,Choma,Southern province,1197,DSp22-7458_1,ZM8963_2
ZM9003,Zambia,-16.57605,26.76313,ZMB048,ZM9003,Mukakandongwe,Choma,Southern province,1275,DSp22-7458_1,ZM9003
ZM8986,Zambia,-16.50905,26.69154,ZMB048,ZM8986,NA,Choma,Southern province,1211,DSp22-7458_1,ZM8986
ZM8965_2,Zambia,-16.51255,26.68789,ZMB048,ZM8965,Chirundu,Choma,Southern province,1197,DSp22-7458_1,ZM8965_2
ZM9007,Zambia,-16.57605,26.76313,ZMB048,ZM9007,Jaya kunona,Choma,Southern province,1275,DSp22-7458_1,ZM9007
ZM8975,Zambia,-16.54198,26.6679,ZMB048,ZM8975,Shanga ubone,Choma,Southern province,1244,DSp22-7458_1,ZM8975
ZM8985,Zambia,-16.50905,26.69154,ZMB048,ZM8985,Kalya balimi,Choma,Southern province,1211,DSp22-7458_1,ZM8985
ZM9013,Zambia,-16.61106,26.79966,ZMB048,ZM9013,NA,Kalomo,Southern province,1304,DSp22-7458_1,ZM9013
ZM9155,Zambia,-12.42228,26.21627,ZMB048,ZM9155,NA,Kalumbila,North-western province,1312,DSp22-7458_1,ZM9155
ZM8995,Zambia,-16.53412,26.69318,ZMB048,ZM8995,Bena Vicky,Choma,Southern province,1230,DSp22-7458_1,ZM8995
ZM9010,Zambia,-16.61106,26.79966,ZMB048,ZM9010,Kasempa,Kalomo,Southern province,1304,DSp22-7458_1,ZM9010
